1	3.616	4.262	28	2.266
2	2.29	3.025	28	2.408
3	2.757	2.403	35	3.211
4	2.882	3.153	34	3.208
5	3.552	3.725	31	3.375
6	3.623	4.158	23	2.283
7	2.94	4.729	17	1.518
8	2.377	4.115	44	3.185
9	3.617	3.784	19	1.633
10	2.736	2.716	15	1.536
11	4.836	4.996	9	1.017
12	3.287	4.179	44	3.237
13	5.077	4.778	12	1.569
14	2.56	2.246	19	1.631
15	2.83	4.729	9	1.096
16	2.603	3.376	15	1.725
17	5.336	3.708	22	2.467
18	4.49	3.064	41	3.19
19	4.473	4.6	19	1.572
20	2.348	4.35	44	3.285
21	5.435	4.345	7	1.033
22	3.182	4.466	20	1.508
23	2.618	3.456	20	1.831
24	5.179	2.999	35	3.302
25	3.205	2.515	42	3.302
26	2.352	4.139	19	1.679
27	2.963	2.916	23	2.154
28	3.853	2.288	17	1.912
29	4.116	2.564	36	3.28
30	4.164	4.201	31	3.174
31	2.615	3.356	9	1.337
32	4.498	3.356	29	2.35
33	2.449	3.716	36	3.337
34	4.401	3.654	7	1.337
35	5.294	3.866	23	2.427
36	5.163	2.537	36	3.264
37	2.733	4.52	44	3.282
38	3.555	2.619	29	2.394
39	5.239	3.159	9	1.307
40	4.678	4.279	23	2.221
41	5.099	3.976	13	1.581
42	4.678	3.163	31	3.255
43	3.148	4.782	15	1.836
44	3.651	4.986	12	1.814
45	4.4	3.97	26	2.396
46	2.655	4.94	10	1.405
47	3.721	3.842	35	3.176
48	3.588	2.832	42	3.353
49	5.163	3.828	42	3.028
50	2.299	3.957	20	1.805
51	3.329	3.69	29	2.018
52	5.107	3.188	32	3.454
53	5.179	3.975	26	2.244
54	2.34	4.881	25	2.451
55	4.487	5.082	7	1.259
56	2.838	2.536	9	1.294
57	5.256	4.193	23	2.14
58	2.5	4.366	23	2.179
59	4.687	4.862	13	1.779
60	4.553	2.498	26	2.28
61	2.353	2.208	29	2.244
62	2.38	2.859	34	3.489
63	5.025	3.725	17	1.681
64	4.048	4.622	22	2.438
65	2.685	2.956	38	3.248
66	4.153	5	29	2.243
67	4.074	2.185	34	3.479
68	4.836	2.82	26	2.192
69	4.857	3.278	38	3.419
70	5.036	4.341	34	3.343
71	4.059	2.534	39	3.158
72	2.481	2.489	15	1.602
73	2.432	2.448	17	1.975
74	3.008	4.24	25	2.42
75	4.07	2.167	25	2.437
76	2.519	4.993	29	2.16
77	4.097	2.732	38	3.029
78	3.092	4.332	26	2.099
79	2.911	3.851	42	3.198
80	5.375	4.637	34	3.162
81	3.053	3.592	13	1.69
82	4.261	4.584	31	3.442
83	2.789	2.185	28	2.169
84	2.513	3.57	35	3.004
85	4.218	3.814	36	3.126
86	3.299	5.056	17	1.778
87	4.134	3.255	12	1.873
88	4.042	4.336	31	3.299
89	4.418	2.914	7	1.354
90	2.501	3.225	36	3.402
91	4.293	2.752	26	2.432
92	4.684	2.327	44	3.383
93	3.118	4.512	44	3.304
94	2.905	4.023	15	1.764
95	3.958	4.867	39	3.371
96	3.127	2.325	38	3.497
97	4.628	4.416	16	1.755
98	5.177	4.889	32	3.373
99	2.334	2.824	44	3.055
100	4.251	4.939	35	3.089
101	7.236	4.735	10	1.265
102	7.144	5.148	26	2.495
103	5.735	4.392	25	2.33
104	6.31	4.701	7	1.078
105	7.172	6.495	44	3.074
106	5.748	6.711	39	3.003
107	5.156	2.644	15	1.93
108	5.052	4.488	29	2.209
