1	3.616	4.262	40
2	2.29	3.025	38
3	2.757	2.403	44
4	2.882	3.153	47
5	3.552	3.725	41
6	3.623	4.158	32
7	2.94	4.729	24
8	2.377	4.115	56
9	3.617	3.784	31
10	2.736	2.716	25
11	4.836	4.996	21
12	3.287	4.179	56
13	5.077	4.778	22
14	2.56	2.246	27
15	2.83	4.729	18
16	2.603	3.376	27
17	5.336	3.708	34
18	4.49	3.064	48
19	4.473	4.600	28
20	2.348	4.350	55
21	5.435	4.345	19
22	3.182	4.466	29
23	2.618	3.456	30
24	5.179	2.999	44
25	3.205	2.515	51
26	2.352	4.139	28
27	2.963	2.916	36
28	3.853	2.288	24
29	4.116	2.564	43
30	4.164	4.201	43
31	2.615	3.356	18
32	4.498	3.356	43
33	2.449	3.716	43
34	4.401	3.654	16
35	5.294	3.866	32
36	5.163	2.537	46
37	2.733	4.52	51
38	3.555	2.619	43
39	5.239	3.159	20
40	4.678	4.279	37
41	5.099	3.976	25
42	4.678	3.163	42
43	3.148	4.782	26
44	3.651	4.986	20
45	4.400	3.97	35
46	2.655	4.94	17
47	3.721	3.842	47
48	3.588	2.832	55
49	5.163	3.828	50
50	2.299	3.957	27
51	3.329	3.69	38
52	5.107	3.188	46
53	5.179	3.975	33
54	2.34	4.881	36
55	4.487	5.082	19
56	2.838	2.536	17
57	5.256	4.193	32
58	2.5	4.366	31
59	4.687	4.862	23
60	4.553	2.498	40
61	2.353	2.208	40
62	2.38	2.859	41
63	5.025	3.725	26
64	4.048	4.622	34
65	2.685	2.956	52
66	4.153	5	38
67	4.074	2.185	44
68	4.836	2.82	34
69	4.857	3.278	47
70	5.036	4.341	41
71	4.059	2.534	47
72	2.481	2.489	24
73	2.432	2.448	24
74	3.008	4.24	34
75	4.07	2.167	32
76	2.519	4.993	36
77	4.097	2.732	52
78	3.092	4.332	35
79	2.911	3.851	54
80	5.375	4.637	43
81	3.053	3.592	22
82	4.261	4.584	44
83	2.789	2.185	40
84	2.513	3.57	45
85	4.218	3.814	45
86	3.299	5.056	26
87	4.134	3.255	25
88	4.042	4.336	38
89	4.418	2.914	16
90	2.501	3.225	43
91	4.293	2.752	37
92	4.684	2.327	58
93	3.118	4.512	55
94	2.905	4.023	24
95	3.958	4.867	48
96	3.127	2.325	50
97	4.628	4.416	23
98	5.177	4.889	44
99	2.334	2.824	51
100	4.251	4.939	44
101	7.236	4.735	24
102	7.144	5.148	35
103	5.735	4.392	39
104	6.31	4.701	20
105	7.172	6.495	52
106	5.748	6.711	46
107	5.156	2.644	24
108	5.052	4.488	41
109	4.748	6.637	39
110	6.907	2.103	29
111	5.162	3.644	35
112	5.041	5.964	35
113	5.614	6.599	50
114	6.25	6.301	19
115	6.954	6.43	39
116	5.922	4.685	34
117	6.83	3.419	20
118	6.004	4.942	24
119	4.732	4.914	41
120	5.852	5.954	52
121	5.535	6.369	14
122	6.239	2.924	36
123	6.802	5.004	52
124	4.834	4.072	34
125	6.51	6.494	29
126	4.691	6.777	28
127	5.699	6.763	21
128	6.311	6.058	25
129	6.23	5.082	35
130	5.455	4.882	36
131	6.7	6.201	41
132	6.714	5.423	31
133	7.007	3.598	51
134	6.488	4.221	51
135	5.714	4.027	32
136	5.766	3.572	49
137	6.357	4.121	45
138	7.3	5.324	27
139	5.222	4.104	25
140	5.61	5.907	23
141	7.048	6.423	25
142	6.466	3.343	34
143	5.366	6.185	14
144	6.104	5.929	26
145	6.224	5.593	33
146	6.081	5.776	29
147	6.215	4.293	40
148	5.608	2.361	42
149	5.703	2.417	52
150	7.324	2.913	28
151	6.866	6.282	31
152	6.535	4.798	36
153	5.121	4.299	41
154	5.615	3.124	23
155	6.278	3.548	19
156	7.146	6.451	22
157	5.379	2.569	26
158	5.207	4.458	36
159	6.643	3.042	41
160	5.355	6.169	26
161	5.804	5.027	51
162	5.316	2.526	51
163	6.072	4.349	43
164	5.099	5.052	31
165	6.148	5.209	21
166	5.077	5.682	41
167	5.285	4.554	44
168	6.795	2.139	18
169	5.559	6.272	45
170	6.954	4.647	48
171	7.013	6.646	41
172	6.905	6.181	43
173	4.955	5.195	48
174	6.575	4.996	50
175	6.833	2.198	30
176	6.754	5.586	21
177	5.386	3.279	30
178	6.385	3.708	26
179	6.825	4.198	27
180	6.788	6.844	34
181	5.495	2.725	47
182	7.106	4.662	56
183	7.302	5.124	30
184	7.354	4.684	51
185	6.101	2.688	27
186	5.643	2.157	30
187	5.12	5.654	22
188	4.771	3.811	23
189	7.001	5.396	16
190	6.542	2.947	24
191	5.874	4.856	30
192	7.343	3.021	39
193	5.354	3.304	26
194	6.7	4.251	14
195	4.843	4.501	51
196	5.258	5.911	30
197	5.487	2.164	25
198	6.28	6.131	19
199	5.711	5.674	30
200	6.06	4.659	26
